Player,Score
Dee,5
BOB,5
de,5
BOB,5
Dee,5
BOB,5
dee,5
BOB,5
De,-995
JANE,-995
Deirdr,-995
JANE,-995
D,-995
SALLY,-995
Deird,-995
JILL,-995
